1;-;Alimente 
1;-;Automobil 
2;-;Auto-Payment 
2;-;Benzin 
2;-;Wartung 
1;-;Bankgebühren 
2;-;Gezahlte Zinsen 
2;-;Service kostenlos 
1;-;Bills 
2;-;Kabel / Satelliten-Fernsehen 
2;-;Cell Phone 
2;-;Cellular 
2;-;Elektrizität 
2;-;Garbage & Recycle 
2;-;Fitnessraum 
2;-;Home-owner's Dues 
2;-;Mitgliedsbeiträge 
2;-;Mortgage Payment 
2;-;Natural Gas / Öl 
2;-;Zeitung 
2;-;On-line/Internet Service 
2;-;Andere Loan Payment 
2;-;Miete 
2;-;Student Loan Payment 
2;-;Telefon 
2;-;Wasser & Abwasser 
1;-;Bargeldauszahlung 
1;-;Spenden 
1;-;Kinderbetreuung 
1;-;Kinder / Spielzeug 
2;-;Child Support 
2;-;Kindertagesstätte 
1;-;Kleidung 
1;-;Zahlungen mit Kreditkarte / Transfers 
1;-;Dining Out 
1;-;Bildung 
2;-;Bücher 
2;-;Gebühren 
2;-;Studiengebühren 
1;-;Unterhaltung 
1;-;Gebühren 
1;-;Lebensmittel 
1;-;Geschenke 
1;-;Lebensmittel 
1;-;Health-care 
2;-;Dental 
2;-;Eye-Care 
2;-;Krankenhaus 
2;-;Physician 
2;-;Rezepte 
1;-;Hobbies / Freizeit 
2;-;Bücher & Zeitschriften 
2;-;Kulturelle Veranstaltungen 
2;-;Entertaining 
2;-;Film & Video Rentals 
2;-;Sporting Club 
2;-;Sporting Goods 
2;-;Tapes & CDs 
2;-;Spielzeug 
1;-;Home Improvement 
1;-;Haushalt 
2;-;Möblierung 
2;-;House Cleaning 
2;-;Yard Service 
1;-;Versicherung 
2;-;Automobile 
2;-;Gesundheit 
2;-;Home-Eigentümers / Mieters 
2;-;Life 
1;-;Job Expense 
2;-;Nicht erstattete 
2;-;Erstattet, 
1;-;Darlehen 
2;-;Darlehenszinsen 
2;-;Hypotheken-Zinsen 
2;-;Student Loan Interest 
1;-;Verschiedenes 
1;-;Mortgage / Miete 
1;-;Körperpflege 
1;-;Pet Care 
2;-;Essen 
2;-;Supplies 
2;-;Tierarzt 
1;-;Telefon / Wireless 
1;-;Services / Mitgliedschaften 
1;-;Steuern 
2;-;Bundessteuer 
2;-;Bundessteuer-Jahr zurück 
2;-;Local Income Tax 
2;-;Medicare Steuern 
2;-;Sonstige Steuern 
2;-;Real Estate Steuern 
2;-;Sales Tax 
2;-;Social Security Tax 
2;-;State Income Tax 
2;-;Staat / Provinz 
1;-;Reisen / Urlaub 
2;-;Freie 
2;-;Reise 
1;-;Utilities 
1;+;Erträge / Zinsen 
1;+;Vermögenseinkommen 
2;+;Capital Gains 
2;+;Dividenden 
2;+;Zinsen 
2;+;Steuerfreie Zinsen 
1;+;Keine Ausgabe 
1;+;Sonstige Erträge 
2;+;Child Support erhalten 
2;+;Employee Stock Option 
2;+;Geschenke erhalten 
2;+;Loan Principal Received 
2;+;Lotterien 
2;+;State & Local Tax Refund 
2;+;Arbeitslosengeld 
1;+;Alterseinkünftegesetz 
2;+;IRA Distribution 
2;+;Pensions & Annuities 
2;+;Social Security Benefits 
1;+;Lohn & Gehalt 
2;+;Bonus 
2;+;Kommission 
2;+;Employer Passende 
2;+;Brutto-Pay 
2;+;Net Pay 
2;+;Überstunden 
